topic,country,article_count,article_titles,article_urls,char_counts,total_chars,query_used,quality
Puerto Rican statehood,US,3,"[""Puerto Rico statehood movement"", ""Political status of Puerto Rico"", ""Independence movement in Puerto Rico""]","[""https://en.wikipedia.org/wiki/Puerto_Rico_statehood_movement"", ""https://en.wikipedia.org/wiki/Political_status_of_Puerto_Rico"", ""https://en.wikipedia.org/wiki/Independence_movement_in_Puerto_Rico""]","[1585, 2339, 1226]",5150,Puerto Rican statehood US,good
Hawaiian sovereignty,US,3,"[""Hawaiian sovereignty movement"", ""Overthrow of the Hawaiian Kingdom"", ""Flag of Hawaii""]","[""https://en.wikipedia.org/wiki/Hawaiian_sovereignty_movement"", ""https://en.wikipedia.org/wiki/Overthrow_of_the_Hawaiian_Kingdom"", ""https://en.wikipedia.org/wiki/Flag_of_Hawaii""]","[1589, 1185, 760]",3534,Hawaiian sovereignty US,good
Taiwan's political status,China,3,"[""Political status of Taiwan"", ""List of political parties in Taiwan"", ""Cross-strait relations""]","[""https://en.wikipedia.org/wiki/Political_status_of_Taiwan"", ""https://en.wikipedia.org/wiki/List_of_political_parties_in_Taiwan"", ""https://en.wikipedia.org/wiki/Cross-strait_relations""]","[2255, 1790, 1331]",5376,Taiwan's political status China,good
Xinjiang/Uyghur autonomy,China,3,"[""World Uyghur Congress"", ""Uyghurs"", ""Islam in China""]","[""https://en.wikipedia.org/wiki/World_Uyghur_Congress"", ""https://en.wikipedia.org/wiki/Uyghurs"", ""https://en.wikipedia.org/wiki/Islam_in_China""]","[1718, 2501, 583]",4802,Xinjiang/Uyghur autonomy China,good
Kashmir's status,India,3,"[""Revocation of the special status of Jammu and Kashmir"", ""Article 370 of the Constitution of India"", ""Jammu and Kashmir (state)""]","[""https://en.wikipedia.org/wiki/Revocation_of_the_special_status_of_Jammu_and_Kashmir"", ""https://en.wikipedia.org/wiki/Article_370_of_the_Constitution_of_India"", ""https://en.wikipedia.org/wiki/Jammu_and_Kashmir_(state)""]","[2640, 2348, 1079]",6067,Kashmir's status India,good
Khalistan movement,India,3,"[""Khalistan Referendum"", ""List of pro-Khalistan movement organisations"", ""Khalistan movement""]","[""https://en.wikipedia.org/wiki/Khalistan_Referendum"", ""https://en.wikipedia.org/wiki/List_of_pro-Khalistan_movement_organisations"", ""https://en.wikipedia.org/wiki/Khalistan_movement""]","[495, 1048, 2000]",3543,Khalistan movement India,good
New Caledonia independence,France,3,"[""2021 New Caledonian independence referendum"", ""2024 New Caledonia unrest"", ""Flags of New Caledonia""]","[""https://en.wikipedia.org/wiki/2021_New_Caledonian_independence_referendum"", ""https://en.wikipedia.org/wiki/2024_New_Caledonia_unrest"", ""https://en.wikipedia.org/wiki/Flags_of_New_Caledonia""]","[2381, 2658, 627]",5666,New Caledonia independence France,good
Overseas territories,France,3,"[""Overseas France"", ""Overseas territory (France)"", ""Overseas collectivity""]","[""https://en.wikipedia.org/wiki/Overseas_France"", ""https://en.wikipedia.org/wiki/Overseas_territory_(France)"", ""https://en.wikipedia.org/wiki/Overseas_collectivity""]","[2185, 630, 2445]",5260,Overseas territories France,good
Slavery and reparations,US,3,"[""Reparations for slavery"", ""Reparations for slavery in the United States"", ""Slavery in the United States""]","[""https://en.wikipedia.org/wiki/Reparations_for_slavery"", ""https://en.wikipedia.org/wiki/Reparations_for_slavery_in_the_United_States"", ""https://en.wikipedia.org/wiki/Slavery_in_the_United_States""]","[291, 2086, 2535]",4912,Slavery and reparations US,good
Native American genocide,US,3,"[""Native American genocide in the United States"", ""California genocide"", ""Native Americans in the United States""]","[""https://en.wikipedia.org/wiki/Native_American_genocide_in_the_United_States"", ""https://en.wikipedia.org/wiki/California_genocide"", ""https://en.wikipedia.org/wiki/Native_Americans_in_the_United_States""]","[1876, 1885, 1518]",5279,Native American genocide US,good
